"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\package-lock.json", "JSON", 0, 21, 0, 0, 21
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\package.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\App.js", "JavaScript", 11, 0, 0, -1, 10
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\app\store.js", "JavaScript", 2, 0, 0, 0, 2
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\components\CustomModal.js", "JavaScript", 18, 0, 0, 3, 21
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\components\MainLayout.js", "JavaScript", 16, 0, 0, 0, 16
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\auth\authService.js", "JavaScript", 10, 0, 16, 6, 32
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\auth\authSlice.js", "JavaScript", 30, 0, 1, 1, 32
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\bcategory\bcategoryService.js", "JavaScript", 25, 0, 0, 2, 27
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\bcategory\bcategorySlice.js", "JavaScript", 105, 0, 0, 5, 110
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\blogs\blogService.js", "JavaScript", 30, 0, 0, 7, 37
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\blogs\blogSlice.js", "JavaScript", 115, 0, 0, 2, 117
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\brands\brandService.js", "JavaScript", 25, 0, 0, 2, 27
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\brands\brandSlice.js", "JavaScript", 105, 0, 0, 3, 108
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\color\colorService.js", "JavaScript", 25, 0, 0, 3, 28
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\color\colorSlice.js", "JavaScript", 106, 0, 0, 2, 108
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\coupon\couponService.js", "JavaScript", 40, 0, 0, 8, 48
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\coupon\couponSlice.js", "JavaScript", 153, 0, 77, 21, 251
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\enquiry\enquiryService.js", "JavaScript", 22, 0, 0, 3, 25
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\enquiry\enquirySlice.js", "JavaScript", 85, 0, 0, 4, 89
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\pcategory\pcategoryService.js", "JavaScript", 25, 0, 0, 3, 28
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\pcategory\pcategorySlice.js", "JavaScript", 105, 0, 0, 4, 109
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\product\productService.js", "JavaScript", 56, 0, 22, 8, 86
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\product\productSlice.js", "JavaScript", 114, 0, 72, 15, 201
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\upload\uploadService.js", "JavaScript", 5, 0, 0, 3, 8
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\features\upload\uploadSlice.js", "JavaScript", 29, 0, 2, 1, 32
